Genes,Margin,Gene,Patient ,Tissue
PIK3R1_110,0.412751678,PIK3R1,110,Margin
PIK3R1_133,0.492537313,PIK3R1,133,Margin
PIK3R1_134,0.452459016,PIK3R1,134,Margin
PIK3R1_141,0.463949843,PIK3R1,141,Margin
PIK3R1_142,0.523489933,PIK3R1,142,Margin
PIK3R1_150,0.436893204,PIK3R1,150,Margin
PIK3R1_155,0.468646865,PIK3R1,155,Margin
PIK3R1_165,0.42662116,PIK3R1,165,Margin
PIK3R1_171,0.356083086,PIK3R1,171,Margin
PTEN_110,0.452380952,PTEN,110,Margin
PTEN_133,0.512605042,PTEN,133,Margin
PTEN_134,0.533101045,PTEN,134,Margin
PTEN_141,0.540740741,PTEN,141,Margin
PTEN_142,0.533088235,PTEN,142,Margin
PTEN_150,0.408759124,PTEN,150,Margin
PTEN_155,0.438356164,PTEN,155,Margin
PTEN_165,0.411003236,PTEN,165,Margin
PTEN_171,0.494208494,PTEN,171,Margin
RB1_110,0.477917981,RB1,110,Margin
RB1_133,0.512084592,RB1,133,Margin
RB1_134,0.456873315,RB1,134,Margin
RB1_141,0.496259352,RB1,141,Margin
RB1_142,0.514527845,RB1,142,Margin
RB1_150,0.411242604,RB1,150,Margin
RB1_155,0.493946731,RB1,155,Margin
RB1_165,0.453825858,RB1,165,Margin
RB1_171,0.468299712,RB1,171,Margin
TGFBR2_110,0.4,TGFBR2,110,Margin
TGFBR2_133,0.511415525,TGFBR2,133,Margin
TGFBR2_134,0.478448276,TGFBR2,134,Margin
TGFBR2_141,0.47706422,TGFBR2,141,Margin
TGFBR2_142,0.55721393,TGFBR2,142,Margin
TGFBR2_150,0.5,TGFBR2,150,Margin
TGFBR2_155,0.472803347,TGFBR2,155,Margin
TGFBR2_165,0.506329114,TGFBR2,165,Margin
TGFBR2_171,0.481012658,TGFBR2,171,Margin
TP53_110,0.436842105,TP53,110,Margin
TP53_133,0.491803279,TP53,133,Margin
TP53_134,0.489539749,TP53,134,Margin
TP53_141,0.480349345,TP53,141,Margin
TP53_142,0.5,TP53,142,Margin
TP53_150,0.454148472,TP53,150,Margin
TP53_155,0.408653846,TP53,155,Margin
TP53_165,0.345794393,TP53,165,Margin
TP53_171,0.464285714,TP53,171,Margin
TRAF3_110,0.502024291,TRAF3,110,Margin
TRAF3_133,0.492307692,TRAF3,133,Margin
TRAF3_134,0.5221843,TRAF3,134,Margin
TRAF3_141,0.405498282,TRAF3,141,Margin
TRAF3_142,0.537593985,TRAF3,142,Margin
TRAF3_150,0.507936508,TRAF3,150,Margin
TRAF3_155,0.484210526,TRAF3,155,Margin
TRAF3_165,0.471186441,TRAF3,165,Margin
TRAF3_171,0.448398577,TRAF3,171,Margin
